Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
French Guiana,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
French Polynesia,East Asia and Pacific,439.1657,13.09715,Empty,Empty,105.0612,128.1533,Empty
French Southern Territories,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Gabon,Sub-Saharan Africa,30.53426,0.805912,12.434,10.7,64.29604,21.9955,Empty
Gambia,Sub-Saharan Africa,20.50713,3.930987,8.978,11.9,23.95542,22.1798,Empty
Georgia,Middle East and North Africa,82.61754,10.923,16.727,36.1,39.69576,179.8298,0.21
Germany,Europe and Central Asia,36.39595,15.57616,17.343,88.3,70.71238,208.4488,0.15
Ghana,Sub-Saharan Africa,23.15382,1.080546,11.586,11.0,17.91485,8.119243,0.59
Gibraltar,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Greece,Europe and Central Asia,78.13855,9.444979,20.026,68.7,78.71148,231.5167,0.34
Greenland,Latin America and the Caribbean,Empty,Empty,Empty,47.8,Empty,Empty,Empty
Grenada,Latin America and the Caribbean,220.3327,20.41533,16.582,6.7,83.22759,135.8376,Empty
Guadeloupe,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Guam,East Asia and Pacific,Empty,Empty,Empty,34.8,Empty,Empty,Empty
Guatemala,Latin America and the Caribbean,60.38946,12.18729,10.767,22.7,46.03976,46.16974,Empty
Guernsey,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Guinea,Sub-Saharan Africa,141.5578,0.447329,11.127,10.7,58.4212,6.660235,Empty
Guinea-Bissau,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Guyana,Latin America and the Caribbean,46.20012,1.407538,13.022,5.4,76.32202,121.6979,Empty
Haiti,Latin America and the Caribbean,61.2176,0.382689,11.138,4.7,19.83939,7.04953,Empty
Heard Island And Mcdonald Islands,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Holy See,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Honduras,Latin America and the Caribbean,46.59542,4.018053,9.962,22.7,39.33305,67.34975,Empty
Hong Kong,East Asia and Pacific,72.16804,24.12392,Empty,Empty,123.7391,66.04235,Empty
Hungary,Europe and Central Asia,62.03732,13.7813,15.073,80.6,78.87965,177.3042,0.28
Iceland,Europe and Central Asia,9.830115,9.587983,19.107,66.8,91.59563,193.4557,0.14
India,South Asia,114.2534,4.633029,12.584,16.2,6.591627,81.32656,0.71
Indonesia,East Asia and Pacific,87.04435,19.28694,13.976,14.0,18.93123,17.54795,0.66
Iran,Middle East and North Africa,145.3703,8.86255,14.117,27.0,31.56294,25.31168,0.65
Iraq,Middle East and North Africa,56.0852,2.372846,12.223,26.2,19.06937,17.65778,0.55
Ireland,Europe and Central Asia,20.45518,13.14262,19.126,71.0,89.12802,304.9443,Empty
Isle Of Man,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty
